innings,Over,Commentary,active_partnership,reviews,Review_team,Review_batsman,Review_umpire,Review_outcome,Umpires_call,index,Partnership_broken,match,innings_action,overturned,review_lost,first_review_lost,second_review_lost,overturned_decisions,ratio_overturned,team,bowler
England 1st innings,82.2,"Pattinson to Rory Burns, no run, big LBW ask -- And the Aussies ain't trusting these umpires any longer. They go up when it isn't given .. and it's pitching comfortably down leg. Ah, redemption, ump Wilson! Burns is trapped in the crease, but this over the wicket angle is always going to be dodgy",5,"Over 82.2: Review by Australia (Bowling), Umpire - JS Wilson, Batsman - RJ Burns (Struck down)",Australia (Bowling),RJ Burns,JS Wilson,Struck down,False,9.0,False,eng-vs-aus-1st-test-the-ashes-2019,Bowling,False,True,True,False,10,0.5,Australia,Pattinson
Australia 1st innings,74.2,"Broad to Smith, no run, England's LBW review. So Smith shuffles as usual, looks to whip this full one through mid-wicket, but the ball drifts in more than he'd anticipated to pin him on the front pad. And when there's a review about to be wasted, why not officially waste it -- Root takes it upstairs, and it's easily down leg",10,"Over 74.2: Review by England (Bowling), Umpire - JS Wilson, Batsman - NM Lyon (Struck down)",England (Bowling),NM Lyon,JS Wilson,Struck down,False,19.0,False,eng-vs-aus-1st-test-the-ashes-2019,Bowling,False,True,False,True,10,0.5,England,Broad
Australia 1st innings,3.1,"Broad to Warner, no run, England take a review against Warner! They're not excited though, as it could probably be umpire's call. Broad had his hands on the head but this might go in favor of the batsman as he's standing way outside his crease. It's missing, in fact. Warner looked to defend this one off his toes but got beaten for pace. The impact was in line but the ball was sailing over the stumps. Umpire's decision stays as it is and England have lost one review",1,"Over 3.1: Review by England (Bowling), Umpire - Aleem Dar, Batsman - DA Warner (Struck down)",England (Bowling),DA Warner,Aleem Dar,Struck down,False,0.0,False,eng-vs-aus-1st-test-the-ashes-2019,Bowling,False,True,True,False,10,0.5,England,Broad
Pakistan 2nd innings,11.2,"Hazlewood to Masood, no run, Paine thinks there is an edge and he has gone for a review.  Bat seems to have come down after the ball has passed and it looks like an another ordinary review from Tim Paine and Australia. Nothing on the hotSpot and on-field decision will stay. Australia lose a review.  It was drifting down the leg-side, Masood was late on the flick. It clips his thigh pad and ends up into the gloves of Paine. The slip cordon advised Paine to take the review, which he did and he was proved wrong within minutes",4,"Over 11.2: Review by Australia (Bowling), Umpire - RK Illingworth, Batsman - Shan Masood (Struck down)",Australia (Bowling),Shan Masood,RK Illingworth,Struck down,False,2.0,False,aus-vs-pak-2nd-test-pakistan-tour-of-australia-2019,Bowling,False,True,True,False,1,0.125,Australia,Hazlewood
Pakistan 1st innings,33.1,"Starc to Yasir Shah, no run, it's referred by Paine! Yasir Shah might have nicked this down the leg-side. 139.9km/h. Hotspot on the trouser, nothing on the bat. Nothing on Snicko either. And that's not out. Both reviews gone for the Aussies.",7,"Over 33.1: Review by Australia (Bowling), Umpire - MA Gough, Batsman - Yasir Shah (Struck down)",Australia (Bowling),Yasir Shah,MA Gough,Struck down,False,6.0,False,aus-vs-pak-2nd-test-pakistan-tour-of-australia-2019,Bowling,False,True,False,True,1,0.125,Australia,Starc
Pakistan 1st innings,1.1,"Pat Cummins to Imam, no run, 135.3kph, good length delivery, Imam-ul-Haq looks to play across the line and misses it. Wears it on the pad and Australia went up in unison for an lbw appeal. The Australians after a big conversation decided to go upstairs. Pitched outside leg and Australia have burnt a review in the second over",1,"Over 1.1: Review by Australia (Bowling), Umpire - MA Gough, Batsman - Imam-ul-Haq (Struck down)",Australia (Bowling),Imam-ul-Haq,MA Gough,Struck down,False,4.0,False,aus-vs-pak-2nd-test-pakistan-tour-of-australia-2019,Bowling,False,True,True,False,1,0.125,Australia,Pat Cummins
Australia 1st innings,111.4,"Shaheen Afridi to Wade, no run, Pakistan have gone for a caught behind review.  This looks close. There was some sound for sure but was it off bat hitting the pad? There is a flat line on the snicko and the original decision will stay.  Pakistan have lost both their reviews now. It was a length delivery around off, it straightens off the deck, Wade ends up playing inside the line. It defeats his outside edge and goes into the gloves of Rizwan. Pakistan challenged the umpire's decision but they were proved wrong withion minutes",1,"Over 111.4: Review by Pakistan (Bowling), Umpire - RK Illingworth, Batsman - MS Wade (Struck down)",Pakistan (Bowling),MS Wade,RK Illingworth,Struck down,False,3.0,False,aus-vs-pak-2nd-test-pakistan-tour-of-australia-2019,Bowling,False,True,False,True,1,0.125,Pakistan,Shaheen Afridi
Australia 1st innings,66.4,"Yasir Shah to Warner, 1 run, Pakistan have gone for a lbw review. Warner attempts the sweep on this delivery which was very full, doesn't connect it as he would have liked. But got an inside edge and that saved him. Pakistan are desperate for a wicket so they went upstairs but there optimism couldn't buy them a wicket as there was a clear inside edge!",2,"Over 66.4: Review by Pakistan (Bowling), Umpire - MA Gough, Batsman - DA Warner (Struck down)",Pakistan (Bowling),DA Warner,MA Gough,Struck down,False,0.0,False,aus-vs-pak-2nd-test-pakistan-tour-of-australia-2019,Bowling,False,True,True,False,1,0.125,Pakistan,Yasir Shah
Australia 1st innings,75.4,"Haris Sohail to Warner, no run, turning down leg, terrible delivery and Warner went for the sweep and missed it. The keeper realized late that there was a little sound as the ball went past the bat and appealed. The skipper also decided to review it. The replays don't seem to show an edge so Warner should survive this. Snicko shows a line as flat as a pool table. Review lost. Poor one indeed from Pakistan to have taken that review",2,"Over 75.4: Review by Pakistan (Bowling), Umpire - RK Illingworth, Batsman - DA Warner (Struck down)",Pakistan (Bowling),DA Warner,RK Illingworth,Struck down,False,1.0,False,aus-vs-pak-1st-test-pakistan-tour-of-australia-2019,Bowling,False,True,True,False,2,0.2857142857142857,Pakistan,Haris Sohail
West Indies 1st innings,29.1,"Bumrah to Darren Bravo, out Lbw!! 50th Test wicket for Jasprit Bumrah. He was the most economical bowler for India thus far and the reward was always coming. Went wide of the crease and angled it into the left-hander, Bravo tries to shuffle across on the flick and gets caught in the crease. It pins him just below the knee roll and umpire Richard Kettleborough puts his finger up after a brief deliberation. Hitting the top of leg peg. Windies lose a review. Darren Bravo lbw b Bumrah 18(27) [4s-2 6s-1]",4,"Over 29.1: Review by West Indies (Batting), Umpire - RA Kettleborough, Batsman - DM Bravo (Struck down)",West Indies (Batting),DM Bravo,RA Kettleborough,Struck down,False,1.0,True,wi-vs-ind-1st-test-india-tour-of-west-indies-2019,Batting,False,True,True,False,4,0.36363636363636365,West Indies,Bumrah
Sri Lanka 2nd innings,43.5,"Southee to Karunaratne, out Lbw!! Karunaratne has been given lbw as he hasn't offered a shot. The skipper decides to challenge the onfield call, but to no avail. A brain fade for the captain and Southee is the beneficiary - achieves the feat of 250 Test wickets. Has been a memorable Test for both - Southee and Boult. They've got to the 250-wicket mark in the same match. This was speared into the batsman from round the wicket and the left hander didn't offer a shot, keeping his bat behind the pads, was a touch late to play it. Though the impact was well outside off, it had enough movement to shape in and rock the off-stump. Indecision, dilemma - the cause behind his downfall. Just the wicket the Kiwis were looking for. They can now possibly trigger a batting collapse, possibly. Karunaratne lbw b Southee 21(70) [4s-2]",6,"Over 43.5: Review by Sri Lanka (Batting), Umpire - BNJ Oxenford, Batsman - FDM Karunaratne (Struck down)",Sri Lanka (Batting),FDM Karunaratne,BNJ Oxenford,Struck down,False,5.0,True,sl-vs-nz-2nd-test-new-zealand-tour-of-sri-lanka-2019,Batting,False,True,True,False,1,0.2,Sri Lanka,Southee
Sri Lanka 1st innings,85.1,"Southee to Lasith Embuldeniya, out Lbw!! Embuldeniya has been adjudged lbw and he's decided to challenge the call. Looks very close, probably hitting the leg stump. It's hitting middle and leg. And the onfield decision stays. A fine delivery by Southee, this. Pitches on middle and jags in ever so slightly, the batsman gets beaten due to the movement and is pinned right in front of the middle stump. Replays confirm three reds and the batsman will have to make his way back to the pavilion. Tim needs only a wicket more to complete his 5-for. Can he do it? Lasith Embuldeniya lbw b Southee 0(2)",9,"Over 85.1: Review by Sri Lanka (Batting), Umpire - MA Gough, Batsman - L Embuldeniya (Struck down)",Sri Lanka (Batting),L Embuldeniya,MA Gough,Struck down,False,3.0,True,sl-vs-nz-2nd-test-new-zealand-tour-of-sri-lanka-2019,Batting,False,True,True,False,1,0.2,Sri Lanka,Southee
New Zealand 2nd innings,105.6,"Dhananjaya de Silva to Ajaz Patel, out Lbw!! That looked straight and Ajaz has been given OUT LBW. With a review on offer, he decides to take a chance. Hold on, is it a no-ball? 'Very tight', says Bruce Oxenford. On second view, he deems it as a fair delivery. Clearly no bat, ball-tracking coming up. Three REDS and it will stay OUT. Sri Lanka need 268 to win. The frustration is finally over for the hosts - this was tossed up outside off and spun back in, stayed a bit low and struck Ajaz right in front of off, was going on and crashing into the middle-stump. Ajaz Patel lbw b Dhananjaya de Silva 14(23) [4s-1]",10,"Over 105.6: Review by New Zealand (Batting), Umpire - MA Gough, Batsman - AY Patel (Struck down)",New Zealand (Batting),AY Patel,MA Gough,Struck down,False,13.0,True,sl-vs-nz-1st-test-new-zealand-tour-of-sri-lanka-2019,Batting,False,True,True,False,4,0.2857142857142857,New Zealand,Dhananjaya de Silva
Sri Lanka 1st innings,93.2,"Somerville to Lasith Embuldeniya, out Lbw!! That looked plumb right through. But Embuldeniya just wanted to take a chance. The slider that drifts in with the round the wicket angle, Embuldeniya kneels down to play the sweep and misses it, beaten for pace and struck on the back thigh. The impact was in-line and it was going on to smash middle-stump. Somerville finishes with three wickets. Lasith Embuldeniya lbw b Somerville 5(17) [4s-1]",10,"Over 93.2: Review by Sri Lanka (Batting), Umpire - RK Illingworth, Batsman - L Embuldeniya (Struck down)",Sri Lanka (Batting),L Embuldeniya,RK Illingworth,Struck down,False,12.0,True,sl-vs-nz-1st-test-new-zealand-tour-of-sri-lanka-2019,Batting,False,True,True,False,4,0.2857142857142857,Sri Lanka,Somerville
New Zealand 1st innings,58.2,"Dananjaya to Henry Nicholls, out Lbw!! Nicholls has been given out LBW and he wants a review. It's a fair delivery, is there any bat on that? Was it spinning past the off-stump? Bruce Oxenford wants the UltraEdge and there's clear daylight between bat, glove and the ball. Pitching in line, the impact is in line and it's hitting middle and leg. Three REDS and Nicholls is OUT. Fourth wicket for Dananjaya and he's on a roll - this was tossed up around leg and then straightened a tad, Nicholls was down on the knees as he looked to sweep, beaten by the extra bounce that Dananjaya procures - struck on the back-thigh, the impact was in front of middle and would have been crashing into the middle and leg stump. Umpire Illingworth got it spot on and New Zealand have lost their first review. Henry Nicholls lbw b Dananjaya 42(78) [4s-2]",4,"Over 58.2: Review by New Zealand (Batting), Umpire - RK Illingworth, Batsman - HM Nicholls (Struck down)",New Zealand (Batting),HM Nicholls,RK Illingworth,Struck down,False,0.0,True,sl-vs-nz-1st-test-new-zealand-tour-of-sri-lanka-2019,Batting,False,True,True,False,4,0.2857142857142857,New Zealand,Dananjaya
South Africa 2nd innings,6.6,"Shami to du Plessis, out Lbw!! Shami's planning pays off finally. Went wide of the crease on two occasions prior to this against Faf. Both were fullish outswingers, one that was left alone and then saw one just beating the SA skipper's outside edge. On this occasion, the length is slightly shorter and the line is straighter as well. Faf gets pinned on the crease and is late to react as this straightens off the deck just a fraction to rap him on the back pad. The lower bounce didn't help either and it looked stone dead in real time. The umpire wasted no time in raising his finger but Faf, perhaps in desperation, went for the review. Was always going to be in trouble if he didn't hit this and UltraEdge confirms that he hasn't. As plumb as it gets. SA falling apart quickly once again. du Plessis lbw b Shami 4(10)",3,"Over 6.6: Review by South Africa (Batting), Umpire - NJ Llong, Batsman - F du Plessis (Struck down)",South Africa (Batting),F du Plessis,NJ Llong,Struck down,False,2.0,True,ind-vs-rsa-3rd-test-south-africa-tour-of-india-2019,Batting,False,True,True,False,2,0.25,South Africa,Shami
South Africa 1st innings,56.2,"Nadeem to Anrich Nortje, out Lbw!! Only an inside edge could have saved Nortje there. He was struck plumb in front. The slider which skids on, Nortje presses forward and is beaten by the in-drift, the ball strikes him in front of middle and ball-tracking shows it to be going on to crash into leg-stump. Anrich Nortje lbw b Nadeem 4(55)",10,"Over 56.2: Review by South Africa (Batting), Umpire - RK Illingworth, Batsman - A Nortje (Struck down)",South Africa (Batting),A Nortje,RK Illingworth,Struck down,False,7.0,True,ind-vs-rsa-3rd-test-south-africa-tour-of-india-2019,Batting,False,True,True,False,2,0.25,South Africa,Nadeem
South Africa 2nd innings,67.2,"Jadeja to Maharaj, out Lbw!! Final blow has been dealt by Jadeja. It was the quicker delivery, goes straight on and Maharaj is caught in the crease which led to his downfall. It crashes onto the pad in front of middle and only height was a factor that could've saved him. Tried his luck and took the review but in vain. A victory by an innings and 137 runs for India. As comprehensive as it gets. Maharaj lbw b Jadeja 22(65) [4s-3]",10,"Over 67.2: Review by South Africa (Batting), Umpire - CB Gaffaney, Batsman - KA Maharaj (Struck down)",South Africa (Batting),KA Maharaj,CB Gaffaney,Struck down,False,7.0,True,ind-vs-rsa-2nd-test-south-africa-tour-of-india-2019,Batting,False,True,True,False,2,0.2,South Africa,Jadeja
South Africa 1st innings,105.4,"Ashwin to Rabada, out Lbw!! Rabada has been adjudged lbw. And, he reviews. Fair delivery. No bat. Was it straightening enough to hit the sticks? Hitting leg and umpire Chris Gaffaney's on-field call stays. A floaty ball that drifted in and Rabada ended up playing down the wrong line trying to block. The ball straightened ever so lightly before striking the batter's front pad adjacent to leg. The ball-tracking shows it to be crashing into leg-stump. Ashwin finishes with four wickets and it's also stumps on day three. Rabada lbw b Ashwin 2(9)",10,"Over 105.4: Review by South Africa (Batting), Umpire - CB Gaffaney, Batsman - K Rabada (Struck down)",South Africa (Batting),K Rabada,CB Gaffaney,Struck down,False,9.0,True,ind-vs-rsa-2nd-test-south-africa-tour-of-india-2019,Batting,False,True,False,True,2,0.2,South Africa,Ashwin
South Africa 1st innings,44.2,"Jadeja to Senuran Muthusamy, out Lbw!! First dismissal for Senuran Muthusamy in Tests and he is out LBW because he offered no shot. That turned in from the rough and he was caught in the crease. There was a lot of spin on it but umpire Llong deemed it out and he was right as Hawkeye showed three reds. The impact was outside off but was taken out of the equation as he offered no shot. India breakthrough again. The umpire had a keen look and really took his time to deem him out. Senuran Muthusamy lbw b Jadeja 7(20)",7,"Over 44.2: Review by South Africa (Batting), Umpire - NJ Llong, Batsman - S Muthusamy (Struck down)",South Africa (Batting),S Muthusamy,NJ Llong,Struck down,False,6.0,True,ind-vs-rsa-2nd-test-south-africa-tour-of-india-2019,Batting,False,True,True,False,2,0.2,South Africa,Jadeja
India 2nd innings,50.6,"Philander to Pujara, out Lbw! Philander doesn't bother to appeal, that's how plumb that was! Pujara has reviewed this! NO WAY! Impact in line, hitting top of off-stump - O.U.T.!, as this straightener off the seam beats the leading edge of his would-be glance to strike him plumb in front, sealing his fate for the game. An unplayable delivery - that's the requirement to get Pujara out, and Philander has produced just that. Phenomenal bowling. Pujara lbw b Philander 81(148) [4s-13 6s-2]",2,"Over 50.6: Review by India (Batting), Umpire - RK Illingworth, Batsman - CA Pujara (Struck down)",India (Batting),CA Pujara,RK Illingworth,Struck down,False,5.0,True,ind-vs-rsa-1st-test-south-africa-tour-of-india-2019,Batting,False,True,True,False,3,0.3,India,Philander
Bangladesh 1st innings,6.3,"Ishant to Kayes, out Lbw!! This looked so out. Really good decision from Joel Wilson. Was under pressure after caught behind decision was reversed. But kept his cool, gave it a long thought and raised the finger. This is the new variety from Ishant, the leg-cutter that comes out scrambled seam and then cuts back in/holds its line from round the wicket. He's set Kayes with away-swingers and then slipped this in. Kayes's head was outside the line and he missed the ball completely looking to play to leg. Impact in line with middle and leg and given. He spoke to Shadman Islam and then sent the case upstairs, only to lose a review as ball-tracker says crashing leg pole. India get their first wicket. Kayes lbw b Ishant 4(15)",1,"Over 6.3: Review by Bangladesh (Batting), Umpire - JS Wilson, Batsman - Imrul Kayes (Struck down)",Bangladesh (Batting),Imrul Kayes,JS Wilson,Struck down,False,3.0,True,ind-vs-ban-2nd-test-bangladesh-tour-of-india-2019,Batting,False,True,True,False,3,0.375,Bangladesh,Ishant
Australia 2nd innings,55.6,"Jack Leach to Paine, out Lbw!! Paine leaves his way to his doom. And 2-2 tonight is a reality again. He goes back deep in the crease to a delivery he should ideally have been forward to, and then surprisingly leaves this ball that was straightening back from the line of leg. Dharmasena took forever to give this out - maybe in doing what Joel Wilson didn't, calculate who has their reviews left. Paine does. He sends it upstairs. And it's three reds, pitching just in line, and the rest was always plumb. Paine lbw b Jack Leach 21(34) [4s-4]",6,"Over 55.6: Review by Australia (Batting), Umpire - HDPK Dharmasena, Batsman - TD Paine (Struck down)",Australia (Batting),TD Paine,HDPK Dharmasena,Struck down,False,10.0,True,eng-vs-aus-5th-test-the-ashes-2019,Batting,False,True,True,False,5,0.38461538461538464,Australia,Jack Leach
Australia 1st innings,53.5,"Sam Curran to Pat Cummins, out Lbw!! The dreaded finger of umpire Marais Erasmus goes up in a flash and Cummins has been adjudged lbw. The batter has decided to challenge it. Fair delivery. It's the inswinger from Curran and Cummins is beaten on the inside edge. Three reds on HawkEye! Australia lose a review and Curran is on a hat-trick! That looked plumb to the naked eye! Full and swinging in, Cummins isn't equipped to keep it away as tries to push. Missed the inside edge, pinned the front pad in front of the sticks. The ball-tracking showed it to be hitting middle and leg. Pat Cummins lbw b Sam Curran 0(1)",7,"Over 53.5: Review by Australia (Batting), Umpire - M Erasmus, Batsman - PJ Cummins (Struck down)",Australia (Batting),PJ Cummins,M Erasmus,Struck down,False,11.0,True,eng-vs-aus-5th-test-the-ashes-2019,Batting,False,True,True,False,5,0.38461538461538464,Australia,Sam Curran
England 1st innings,59.4,"Mitchell Marsh to Bairstow, out Lbw!! Bairstow has been adjudged lbw by umpire Marais Erasmus and he has reviewed that call. Fair delivery. A big, booming inswinger and it crashes into Bairstow's front pad. No bat. Three reds on HawkEye! England waste a review. After all those outswingers, Marsh gets one to curl into the right-hander and Bairstow had no clue against it. The length was perfect too - a toe-crushing yorker and Bairstow was too late in bringing his bat down. The ball-tracking showed it to be hitting leg. Superb bowling, this from Marsh. He is pumped up! Bairstow lbw b Mitchell Marsh 22(55) [4s-3]",5,"Over 59.4: Review by England (Batting), Umpire - M Erasmus, Batsman - JM Bairstow (Struck down)",England (Batting),JM Bairstow,M Erasmus,Struck down,False,8.0,True,eng-vs-aus-5th-test-the-ashes-2019,Batting,False,True,True,False,5,0.38461538461538464,England,Mitchell Marsh
England 2nd innings,115.2,"Pattinson to Broad, out Lbw!! Dead. Buried. Dead-in-glee. It's a vicious yorker, absolute brute, and umpire Gaffaney ups his DRS Karma points. Broad's mind knows only one thing, the bouncer, and he's perpetually ready, jumping up to Pattinson's proper bluffing yorker that sneaks under his bat and pins him plumb on the front boot. Three Reds.  Never mind the review .. Broad lbw b Pattinson 0(2)",9,"Over 115.2: Review by England (Batting), Umpire - CB Gaffaney, Batsman - SCJ Broad (Struck down)",England (Batting),SCJ Broad,CB Gaffaney,Struck down,False,13.0,True,eng-vs-aus-3rd-test-the-ashes-2019,Batting,False,True,True,False,7,0.4117647058823529,England,Pattinson
Australia 2nd innings,53.3,"Broad to Paine, out Caught by Denly!! This time the finger is raised. It appears that Paine was given leg-before on the field, a decision he challenges immediately due to the involvement of an inside edge. But even the catch was taken at gully, which Paine was aware of. So, all in all, it's a strange review. He would've been out one way or another. Actually, ball-tracking had it going over the stumps. But, come on, it's still a strange review. Paine c Denly b Broad 0(2)",6,"Over 53.3: Review by Australia (Batting), Umpire - JS Wilson, Batsman - TD Paine (Struck down)",Australia (Batting),TD Paine,JS Wilson,Struck down,False,15.0,True,eng-vs-aus-3rd-test-the-ashes-2019,Batting,False,True,True,False,7,0.4117647058823529,Australia,Broad
England 1st innings,26.4,"Pat Cummins to Jofra Archer, out Caught by Paine!! Archer reviews just for the sake of it. Don't think he truly believes he's going to get away. Had left his bat hanging up while ducking underneath the short ball and such is the state of England's shambles that it flicks the bat-face through to Paine. Jofra Archer c Paine b Pat Cummins 7(8) [4s-1]",9,"Over 26.4: Review by England (Batting), Umpire - CB Gaffaney, Batsman - JC Archer (Struck down)",England (Batting),JC Archer,CB Gaffaney,Struck down,False,5.0,True,eng-vs-aus-3rd-test-the-ashes-2019,Batting,False,True,True,False,7,0.4117647058823529,England,Pat Cummins
Australia 1st innings,51.2,"Stokes to Labuschagne, out Lbw! Given out and it's reviewed by Australia! Unless the impact is outside off, I don't see this being overturned. A surprise of a full-toss in store for Labuschagne, who is struck on the back-pad. Is there bat? Might be! Nope, no bat. Impact in-line, that was the only thing that could have saved him, and the dipping full-toss is crashing into the very center of the middle-pole. A rather eccentric dismissal, that found Labuschagne on his knees at the end of it all, but an important one for England. Labuschagne lbw b Stokes 74(129) [4s-10]",9,"Over 51.2: Review by Australia (Batting), Umpire - JS Wilson, Batsman - M Labuschagne (Struck down)",Australia (Batting),M Labuschagne,JS Wilson,Struck down,False,14.0,True,eng-vs-aus-3rd-test-the-ashes-2019,Batting,False,True,False,True,7,0.4117647058823529,Australia,S
Australia 1st innings,49.6,"Jofra Archer to Pat Cummins, out Caught by Bairstow! The Archer hits bull's eye! Maiden five-for for him. Or is it? Pat Cummins has gone for the review. Yep, there's a spike as the ball goes past the bat, but there was already some background noise. Well, certainly some scope for controversy here. No conclusive evidence, but also, to the naked eye, no visible daylight between bat and ball and nothing else that could have produced the noise. The ball - a good length one in the zone, jagging away just a little to find the outside edge, giving Jofra his fifth wicket! Pat Cummins c Bairstow b Jofra Archer 0(13)",8,"Over 49.6: Review by Australia (Batting), Umpire - JS Wilson, Batsman - PJ Cummins (Struck down)",Australia (Batting),PJ Cummins,JS Wilson,Struck down,False,11.0,True,eng-vs-aus-3rd-test-the-ashes-2019,Batting,False,True,True,False,7,0.4117647058823529,Australia,Jofra Archer
Australia 1st innings,93.1,"Jack Leach to Lyon, out Lbw!! Given out on the field. Lyon's decided to take it upstairs. The thing to watch here is whether this is sliding down. It came in with the arm from Leach, had Lyon playing outside the line of it. Ball-tracking's verdict is that it's hitting middle and leg. The ball had actually straightened enough from round the wicket. Lyon lbw b Jack Leach 6(17)",9,"Over 93.1: Review by Australia (Batting), Umpire - CB Gaffaney, Batsman - NM Lyon (Struck down)",Australia (Batting),NM Lyon,CB Gaffaney,Struck down,False,12.0,True,eng-vs-aus-2nd-test-the-ashes-2019,Batting,False,True,False,True,2,0.15384615384615385,Australia,Jack Leach
Australia 1st innings,87.5,"Woakes to Smith, out Lbw!! A token review from Smith who knows he's gone. He's padded up to a full ball that's come in with the angle, hitting him right in front of off stump. Just a horrible misjudgement wherein he expected the ball to swing away from him. Ball-tracking inevitably returns three reds, and Smith has almost crossed the boundary. Another great knock from him though, which is recognized with a generous applause by the majority of the crowd to drown everything else. Smith lbw b Woakes 92(161) [4s-14]",8,"Over 87.5: Review by Australia (Batting), Umpire - CB Gaffaney, Batsman - SPD Smith (Struck down)",Australia (Batting),SPD Smith,CB Gaffaney,Struck down,False,11.0,True,eng-vs-aus-2nd-test-the-ashes-2019,Batting,False,True,True,False,2,0.15384615384615385,Australia,Woakes
England 1st innings,64.6,"Pat Cummins to Woakes, out Caught by Paine!! There's the wicket. There's the plan working for Australia and Cummins. Woakes has shown vulnerability to the short ball and Cummins has exploited that superbly. He kept going short and had him in all sort of trouble, this was an innocuous short ball angled down leg, but Woakes goes looking for the pull, the ball brushes the glove and Paine does the rest behind the stumps. Aleem Dar took his time before raising the finger but he made the right decision. Not sure how Woakes did not feel the ball taking the glove as he went for the review almost immediately. Woakes c Paine b Pat Cummins 32(62) [4s-3 6s-1]",7,"Over 64.6: Review by England (Batting), Umpire - Aleem Dar, Batsman - CR Woakes (Struck down)",England (Batting),CR Woakes,Aleem Dar,Struck down,False,8.0,True,eng-vs-aus-2nd-test-the-ashes-2019,Batting,False,True,True,False,2,0.15384615384615385,England,Pat Cummins
England 2nd innings,36.6,"Pat Cummins to Bairstow, out Caught by Bancroft!! Bairstow is very unlucky here. But he did feel it was above his wristband and hence challenged the decision. The third umpire had a couple of looks and deemed in favour of the bowling side. England have lost both their reviews now. Another short delivery that refuses to bounce, Bairstow bends and arches back, but the low bounce does him in, the ball hits the sweatband on the glove before lobbing to third slip. A simple catch for Australia and they were confident. Umpire Wilson needed a nudge and it came from his partner at square leg. A quick glance and up went the finger. Bairstow c Bancroft b Pat Cummins 6(8) [4s-1]",6,"Over 36.6: Review by England (Batting), Umpire - JS Wilson, Batsman - JM Bairstow (Struck down)",England (Batting),JM Bairstow,JS Wilson,Struck down,False,16.0,True,eng-vs-aus-1st-test-the-ashes-2019,Batting,False,True,False,True,10,0.5,England,Pat Cummins
England 2nd innings,25.5,"Lyon to Denly, out Caught by Bancroft!! A classical day-five dismissal this. Another peach from Lyon and he is getting a lot of assistance from the track, it spins sharply and there was a moment of indecision from Denly where he wasn't sure whether to go forward or stay in the crease. It clipped the inside edge of Denly and FSL takes a fine catch. Denly wasn't sure whether he had edged that and he went for the review. He was proved wrong within a minute and the umpire finally gets a decision right. Denly c Bancroft b Lyon 11(16) [4s-2]",3,"Over 25.5: Review by England (Batting), Umpire - Aleem Dar, Batsman - JL Denly (Struck down)",England (Batting),JL Denly,Aleem Dar,Struck down,False,11.0,True,eng-vs-aus-1st-test-the-ashes-2019,Batting,False,True,True,False,10,0.5,England,Lyon
Australia 1st innings,32.4,"Woakes to Head, out Lbw!! Aussies review. But when the review is one second before the timer goes out, you know how desperate this is. Okay, so Woakes' had Head trapped in the crease as this one stays low and beats him for pace to come back in off the pitch and catch him in front of middle. But Head - after a long plea - has a damn reluctant Smith's blessings to take it upstairs -- only to see three reds on the big screen. It pitches on middle, nips in and is struck on the knee roll. Head's already quite short, plus he's deep in the crease as well. Yea, the perfect recipe for disaster. But Woakes' got to be taking all the credit for this perfect set up .. across, across, across and then suddenly one comes back in to mess around with Head's head. Head lbw b Woakes 35(61) [4s-5]",4,"Over 32.4: Review by Australia (Batting), Umpire - JS Wilson, Batsman - TM Head (Struck down)",Australia (Batting),TM Head,JS Wilson,Struck down,False,8.0,True,eng-vs-aus-1st-test-the-ashes-2019,Batting,False,True,True,False,10,0.5,Australia,Woakes
Pakistan 2nd innings,75.3,"Lyon to Yasir Shah, out Lbw!! Shah is adjudged lbw, he has a word with his partner and shows the 'T' sign, meaning he's reviewing it. No problem with the legality of the delivery as front foot is okay. The TV umpire is checking if there's any bat on this. Nothing on snicko. Three reds and the on-field call stays. The centurion of the first innings and the thorn in the flesh for Australia, Shah has been undone by a quicker delivery from Lyon. He's on fire and picks up his fourth wicket. Round the wicket angle, quicker and going straight on after pitching. Shah misjudges the length and stayed back. It skids on and pins him on the back pad around the knee-roll. It looked plumb and umpire Richard Illingworth was spot on with his decision. Yasir Shah lbw b Lyon 13(26) [4s-1]",7,"Over 75.3: Review by Pakistan (Batting), Umpire - RK Illingworth, Batsman - Yasir Shah (Struck down)",Pakistan (Batting),Yasir Shah,RK Illingworth,Struck down,False,5.0,True,aus-vs-pak-2nd-test-pakistan-tour-of-australia-2019,Batting,False,True,True,False,1,0.125,Pakistan,Lyon
Pakistan 1st innings,65.2,"Starc to Shaheen Afridi, out Lbw!! Pakistan review: Afridi has been given out lbw first ball. He has a chat with his partner and opts to challenge the on-field call. No problem with the front foot. No bat as well and three reds says Hawkeye. He is a goner and Starc is on a hat-trick now. This looked pretty adjacent straightaway. Afridi just reviewed in hope. This was full, straight and at the stumps. The batsman is beaten for pace as it strikes him low on the pads in front of middle. Ball-tracking showed that it was crashing the leg-stump. Make that six wickets for Starc. 145kph thunderbolt which is too good for Afridi. Shaheen Afridi lbw b Starc 0(1)",8,"Over 65.2: Review by Pakistan (Batting), Umpire - MA Gough, Batsman - Shaheen Shah Afridi (Struck down)",Pakistan (Batting),Shaheen Shah Afridi,MA Gough,Struck down,False,7.0,True,aus-vs-pak-2nd-test-pakistan-tour-of-australia-2019,Batting,False,True,True,False,1,0.125,Pakistan,Starc
